Title,Longitude,Latitude
Lola's Confectionery,-8421602.222,5688731.422100000083447
Farm Boy,-8426088.298,5688747.631799999624491
Shoppers Drug Mart,-8426028.876,5688778.101300000213087
Circle K,-8424855.613,5688780.670800000429153
Pioneer - Gas Station,-8419221.297,5688844.560399999842048
Remac,-8425323.31,5688884.023199999704957
Wix Mart,-8425784.374,5688920.567900000140071
Food Basics,-8419827.521,5688951.053999999538064
Win Tai Market,-8419211.824,5688955.653900000266731
Food Frenz,-8424671.401,5688959.587199999950826
Zesty Mart,-8425763,5689025.603199999779463
Marché Adonis,-8419872.105,5689049.998700000345707
Circle K,-8415900.346,5689066.209699999541044
Geeland Baguio Store,-8420184.857,5689087.781399999745190
Millennium Convenience,-8425824.805,5689201.938900000415742
Quickie,-8421243.684,5689227.064500000327826
Petro-Canada,-8420096.068,5689231.934100000187755
Esso,-8421090.363,5689263.039800000376999
Petro-Canada,-8425238.062,5689264.070500000379980
Shoppers Drug Mart,-8425160.907,5689324.362499999813735
Loblaws,-8422953.073,5689382.830900000408292
Shoppers Drug Mart,-8425973.55,5689387.795599999837577
Exotic Bottega,-8426146.307,5689419.092000000178814
Circle K,-8425147.849,5689422.534300000406802
Mergi Shop,-8424968.802,5689445.248900000005960
Loblaws,-8425090.853,5689500.450299999676645
FreshCo,-8421748.729,5689510.967500000260770
Michel's,-8426066.034,5689550.956600000150502
Metro,-8411660.33,5689617.628200000151992
Shoppers Drug Mart,-8411595.609,5689652.970300000160933
Quickie,-8424549.228,5689689.263600000180304
Walmart Supercentre,-8416935.751,5689693.309200000017881
Moussa Mini Market & Meat Shop,-8421974.919,5689703.667299999855459
Circle K,-8411614.422,5689777.573300000280142
Circle K,-8421879.953,5689779.491999999620020
Green Fresh,-8422737.948,5689783.124699999578297
All Africa Market,-8421145.077,5689834.838299999944866
MC Halal Grocery,-8421383.401,5689837.677799999713898
Mario's Food Centre,-8421375.898,5689838.455199999734759
Al-Mokhtar Food Centre,-8421369.085,5689843.467799999751151
Bulk Barn,-8416816.15,5689877.494500000029802
Kaz Kitchen,-8425898.265,5689894.769000000320375
Rexall,-8416847.174,5689925.718700000084937
Hasty Market,-8424150.916,5689928.430700000375509
Shell Select,-8423514.958,5690002.242999999783933
Mr Gas,-8417140.858,5690002.750900000333786
Loblaws,-8416913.432,5690020.454499999992549
Mercado Latino,-8423327.485,5690063.618499999865890
Blue Nile Grocery Store,-8425817.636,5690080.275000000372529
Circle K,-8423105.191,5690117.062900000251830
Shoppers Drug Mart,-8422944.702,5690191.035099999979138
Costco,-8416128.807,5690259.709800000302494
By Grace Food Market,-8422888.986,5690304.810399999842048
Shoppers Drug Mart,-8416271.352,5690514.423399999737740
Mama Cora Latin Market,-8422420.52,5690525.607200000435114
Kabul Food Market,-8421865.392,5690863.301400000229478
Mini Confectionary,-8422607.671,5690893.714499999769032
Circle K,-8421777.483,5690911.927500000223517
Metro,-8424170.63,5690969.041600000113249
St. Charles Food Market,-8423792.745,5690988.999900000169873
Ste-Anne Convenience,-8422345.714,5690989.602800000458956
Quickie,-8424112.41,5691067.358099999837577
Your Independent Grocer,-8420561.651,5691235.928399999625981
Pioneer - Gas Station,-8420681.231,5691314.035099999979138
GB Caribbean Grocery,-8420496.362,5691317.779600000008941
Red Door Provisions,-8423877.704,5691327.298600000329316
Shoppers Drug Mart,-8420906.308,5691343.243999999947846
Circle K,-8420526.842,5691391.825000000186265
Sweet Daddy,-8420234.027,5691507.487900000065565
Farm Boy,-8420729.287,5691552.579199999570847
Fresh Grocer,-8423404.14,5691559.163599999621511
Vanier Foodmart,-8423008.154,5691559.782200000248849
Rexall,-8419818.743,5691843.781899999827147
Metro,-8415221.264,5691914.810800000093877
